nct_id,criterion,label
NCT06855589,"PSA 10-20 ng/mL

  * Gleason Score 7 (4+3)
  * ≥ 50% biopsy cores positive

    3\. Imaging, including CT scan and bone scan (with radiographs of suspicious areas) must be performed within 120 days prior to randomization and be negative for metastases. For patients who have started androgen suppression prior to randomization, bone scan may be done up to and including 28 days after the initiation of therapy.

    4\. Pelvic and para-aortic lymph nodes must be negative on CT scan or MRI of the abdomen and pelvis performed within 120 days prior to randomization. For patients who have started androgen suppression prior to randomization, CT or MRI may be done after the start of therapy, provided it is done no more than 28 days following the start of androgen suppression therapy.

Any lymph node appearing \> 1.5 cm on CT or MRI must be histologically negative by either needle aspiration or lymph node dissection performed within 12 weeks prior to randomization.

5\. Patients will have had a PSA test done around the time of diagnosis. This PSA test could be repeated within 28 days prior to randomization. The PSA value used to confirm unfavorable intermediate risk disease and the value to be entered on the eligibility checklist must be the higher of these two values. These criteria will be the same regardless of whether the patient has initiated hormone therapy prior to randomization.

6\. The patient may have received prior androgen suppression therapy provided that androgen suppression therapy started no more than 28 days prior to randomization.

7\. The patient must not have received any cytotoxic anti-cancer therapy for prostate cancer prior to randomization. Patients may have received treatment with a 5-alpha-reductase inhibitor (e.g. Finasteride) for benign prostate hyperplasia (BPH), but must discontinue its use prior to randomization.

8\. ECOG performance status must be 0 or 1. 9. Hematology and biochemistry laboratory requirements must have been done within 28-42 days prior to randomization:",inclusion
NCT06855589,Absolute Neutrophils \> 1.5 x 109/L,inclusion
NCT06855589,"Serum creatinine \< 1.5 x ULN 10. As it is unknown whether these treatments may affect an unborn child, adequate birth control measures should be used by the participant or his sexual partner(s) (if of reproductive potential while participating in this study).

   11\. Patient consent must be obtained according to local institutional and/or University Human Experimentation Committee requirements. It will be the responsibility of the local participating investigators to obtain the necessary local clearance, and to indicate in writing that such clearance has been obtained, before the trial can commence in that centre.

   12\. Patients must be available for treatment and follow-ups. Investigators must ensure that the patients admitted on to this trial will be available for complete documentation of the treatment, adverse events, and follow-up visits.

   13\. Prostate size must be ≤ 75 cc.",inclusion
NCT06855589,"Exclusion Criteria:
   * 1\. Patients with a history of other malignancies, except: non-melanoma skin cancer; or other solid tumours curatively treated with no evidence of disease for \> 5 years.

     2\. The presence of small-cell or transitional-cell carcinoma in the biopsy specimen.

     3\. Patients who received previous chemotherapy for carcinoma of the prostate. 4. Patients who had prior surgical treatment for carcinoma of the prostate apart from trans-urethral resection, including bilateral orchiectomy.

     5\. Patients with any contraindication to pelvic radiotherapy including, but not limited to, previous pelvic radiotherapy, inflammatory bowel disease (at the discretion of the treating oncologist) or severe bladder irritability.

     6\. Patients with serious non-malignant disease resulting in a life expectancy of less than 3 years.

     7\. Other serious illnesses, psychiatric or medical conditions that would not permit the patient to be managed according to the protocol including active uncontrolled infection and significant cardiac dysfunction. Patients with medical conditions that would contraindicate the treatment regimen outlined in the protocol \[e.g. intake of study drugs\] would also NOT be eligible for the study.

     8\. Known hypersensitivity to any protocol-indicated study medications. 9. Presence of bilateral hip replacement prostheses. 10. Patients with a history of severe congestive heart failure will not be eligible.

   Patients with congenital long QT syndrome or patients taking Class IA, Class III or Class IC anti-arrhythmic medications will require a cardiologist's evaluation prior to eligibility assessment.",exclusion
NCT05263050,Cohorts A and B: Histologically or cytologically confirmed advanced RCC with any clear cell or non-clear cell component. 100% sarcomatoid is permissible.,inclusion
NCT05263050,"Cohorts A and B: Patient may have had any number of prior therapies for Cohort A, but for Cohort B patients must not have received any systemic therapy in the metastatic setting",inclusion
NCT05263050,Patients who have received prior (neo)adjuvant immunotherapy with pembrolizumab or similar are eligible for Cohort B IF they completed the adjuvant therapy \&gt; 12 months from start of trial therapy,inclusion
NCT05263050,Treatment naïve patients may be treated in Cohort A if deemed not candidates for nivolumab or if felt single agent cabozantinib most appropriate by the treating clinician,inclusion
NCT05263050,"Cohort C: Well differentiated NET, grades 1-3 (any primary site) who have progressed on or are not eligible for somatostatin analogs per treating physician discretion",inclusion
NCT05263050,Cohort C: Disease progression within prior 12 months,inclusion
NCT05263050,"Cohort C: Prior or concurrent treatment with somatostatin analogue allowed but no limit on lines of therapy (stable dose of somatostatin for 2 months)

All Cohorts:",inclusion
NCT05263050,At least one measurable lesion as defined by RECIST version 1.1,inclusion
NCT05263050,No evidence of pre-existing uncontrolled hypertension as assessed by investigator. Patients may undergo adjustments or additions to their antihypertensive regimen before or during screening to achieve optimal BP control.,inclusion
NCT05263050,"Patients must have normal organ and marrow function as defined below

  * Leukocytes, \&gt; 2,000/mcL
  * Absolute neutrophil count, \&gt; 1,500/mcL
  * Platelets, \&gt; 100,000/mcL
  * Hgb, \&gt; 9 g/dL (\&gt;90 g/L)
  * Total bilirubin, ≤ 1.5 x ULN (with the exception of of individuals with Gilberts syndrome who may have a bilirubin \&lt;3.0 mg/dL)
  * AST/ALT (SGOT/SGPT)/ALP, \&lt; 3 x ULN ALP ≤ 5x ULN with documented bone metastases.
  * Albumin, \&gt; 2.8 g/dL
  * Creatinine clearance, \&gt; 30 Ml/min/1.73 m2 for patients with creatinine levels above institutional normal
  * PT/INR or PTT, \&lt; 1.3 x the laboratory ULN",inclusion
NCT05263050,Ability to understand and willingness to sign a written informed consent and HIPAA consent document,inclusion
NCT05263050,"Sexually active fertile subjects and their partners must agree to use medically accepted methods of contraception (e.g., barrier methods, including male condom, female condom, or diaphragm with spermicidal gel) during the course of the study and for 4 months after the last dose of study treatment",inclusion
NCT05263050,"Patients who have had systemic anti-cancer therapy or radiotherapy within 14 days or five half-lives, whichever is shorter, prior to entering the study.",exclusion
NCT05263050,"Radiation therapy for bone metastases within 2 weeks, any other radiation therapy within 4 weeks, or systemic treatment with radionuclides within 6 weeks before first dose of study treatment. Ongoing clinically relevant complications from prior radiation therapy would preclude eligibility.",exclusion
NCT05263050,Patients with prior therapy with cabozantinib.,exclusion
NCT05263050,Prior systemic therapy directed at advanced RCC is not allowed for patients enrolled to Cohort B (treatment-naïve group).,exclusion
NCT05263050,"Cohort B only: Active, known or suspected autoimmune disease. Subjects are permitted to enroll if they have vitiligo, type I diabetes mellitus, residual hypothyroidism due to autoimmune condition only requiring hormone replacement, psoriasis not requiring systemic treatment, or conditions not expected to recur in the absence of an external trigger",exclusion
NCT05263050,Cohort B only: Patients have a condition requiring systemic treatment with either corticosteroids (\&gt; 10 mg daily prednisone or equivalent) or other immunosuppressive medications within 14 days of study drug administration. Inhaled or topical steroids and adrenal replacement doses \&gt; 10 mg daily prednisone equivalents are permitted in the absence of active autoimmune disease.,exclusion
NCT05263050,Patients may not be receiving any other investigational agents,exclusion
NCT05263050,History of allergic reactions or hypersensitivity attributed to compound of similar chemical or biologic composition to the agent(s) used in this study,exclusion
NCT05263050,"Current use or anticipated need for treatment with drugs or foods that are known strong CYP3A4 inhibitors and inducers. Refer to Section 5.3.2 for detailed information. The topical use of these medications (if applicable), such as 2% ketoconazole cream, is allowed.",exclusion
NCT05263050,"Concomitant anticoagulation with coumarin agents (e.g., warfarin), direct thrombin inhibitors (e.g., dabigatran), direct factor Xa inhibitor betrixaban, or platelet inhibitors (e.g., clopidogrel). Allowed anticoagulants are the following:",exclusion
NCT05263050,Prophylactic use of low-dose aspirin for cardio-protection (per local applicable guidelines) and low-dose low molecular weight heparins (LMWH).,exclusion
NCT05263050,"Therapeutic doses of LMWH or anticoagulation with direct factor Xa inhibitors rivaroxaban, edoxaban, or apixaban in subjects without known brain metastases who are on a stable dose of the anticoagulant for at least 1 week before first dose of study treatment without clinically significant hemorrhagic complications from the anticoagulation regimen or the tumor.",exclusion
NCT05263050,"Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.",exclusion
NCT05263050,"Congestive heart failure New York Heart Association Class 3 or 4, unstable angina pectoris, serious cardiac arrhythmias.",exclusion
NCT05263050,QTcF \&gt; 500 msec within 28 days before first dose of study treatment.,exclusion
NCT05263050,Uncontrolled hypertension defined as sustained blood pressure (BP) \&gt; 160 mm Hg systolic or \&gt; 100 mm Hg diastolic despite optimal antihypertensive treatment.,exclusion
NCT05263050,"Stroke (including transient ischemic attack \[TIA\]), myocardial infarction (MI), or other ischemic event, or thromboembolic event (e.g., deep venous thrombosis, pulmonary embolism) within 6 months before first dose of study treatment.",exclusion
NCT05263050,"Subjects with a diagnosis of incidental, sub-segmental PE or DVT within 6 months are allowed if stable, asymptomatic, and treated with a stable dose of permitted anticoagulation (see exclusion criterion #6) for at least 1 week before first dose of study treatment.",exclusion
NCT05263050,Gastrointestinal (GI) disorders including those associated with a high risk of perforation or fistula formation:,exclusion
NCT05263050,"The subject has evidence of tumor invading the GI tract, active peptic ulcer disease, inflammatory bowel disease (e.g., Crohn's disease), diverticulitis, cholecystitis, symptomatic cholangitis or appendicitis, acute pancreatitis, acute obstruction of the pancreatic duct or common bile duct, or gastric outlet obstruction.",exclusion
NCT05263050,"Abdominal fistula, GI perforation, bowel obstruction, or intra-abdominal abscess within 6 months before first dose of study treatment.

Note: Complete healing of an intra-abdominal abscess must be confirmed before first dose of study treatment.",exclusion
NCT05263050,Cavitating pulmonary lesion(s) or known endotracheal or endobronchial disease manifestation.,exclusion
NCT05263050,"Lesions invading or encasing any major blood vessels. Subjects with lesions invading the intrahepatic vasculature, including portal vein, hepatic vein, and hepatic artery, are eligible.",exclusion
NCT04317391,"Pain condition for over six months, with diagnosis by pain physician to be of chronic pain or cancer pain.",inclusion
NCT04317391,Patients unable to communicate in Mandarin.,exclusion
NCT04210791,Patients with newly diagnosed AL;,inclusion
NCT04210791,Appropriate for autologous hematopoietic stem cell transplantation;,inclusion
NCT04210791,Abnormal M protein or free light chain detected in serum and/or urine,inclusion
NCT04210791,Subjects (or their legal representatives) must sign an informed consent document indicating understanding the purpose of and procedures required for the study and willingness to participate in the study.,inclusion
NCT04210791,Pregnant and breastfeeding women;,exclusion
NCT04210791,Subjects suffering from multiple myeloma;,exclusion
NCT04210791,hypersensitivity to any treatment drugs;,exclusion
NCT04210791,Subjects have severe cardiovascular disease;,exclusion
NCT04210791,Subjects have a serious physical disease and mental illnesses;,exclusion
NCT04210791,Other conditions that researchers consider are not suitable for transplantation.,exclusion
NCT05151718,children with intracranial ependymoma,inclusion
NCT05151718,"included in PEPPI study, pediaRT or in SIOP II Ependymoma french program",inclusion
NCT07003490,"Histologically confirmed primary non-small cell lung cancer (NSCLC): The diagnosis must be confirmed through pathological examination, and the patient must meet one of the following histological types: adenocarcinoma, squamous cell carcinoma, or large cell carcinoma.",inclusion
NCT07003490,"PET-CT indicating contralateral mediastinal lymph node metastasis, N3 stage: Patients must have lung cancer classified as stage N3 based on positron emission tomography (PET) scans, with evidence of contralateral mediastinal lymph node involvement.",inclusion
NCT07003490,Age range: Patients must be aged between 18 and 75 years.,inclusion
NCT07003490,"Good cardiopulmonary function:Preoperative evaluation must show no significant cardiovascular conditions (e.g., heart failure, severe coronary artery disease) or severe respiratory diseases (e.g., chronic obstructive pulmonary disease), and the patient must have good heart function (LVEF ≥ 45%), with the ability to tolerate surgery.Preoperative pulmonary function assessment must meet the surgical criteria, with forced expiratory volume in 1 second (FEV1) ≥ 50% of predicted value.",inclusion
NCT07003490,"Resectable tumor: Based on imaging studies (such as CT or MRI) and assessment by thoracic surgeons, the patient must be deemed suitable for surgical resection and planned for primary tumor resection combined with bilateral lymph node dissection.",inclusion
NCT07003490,"No distant metastasis: Full-body imaging (such as CT or PET-CT) must show no evidence of distant metastasis, indicating that the patient is suitable for localized treatment.",inclusion
NCT07003490,"ECOG performance status of 0-1: Patients must have an ECOG performance status score of 0-1 (as per Attachment 1), indicating that they are clinically in good physical condition and able to perform daily activities independently.",inclusion
NCT07003490,"Informed consent: The patient and their family members must voluntarily sign an informed consent form after being fully informed of the purpose, content, risks, and potential benefits of the study, consenting to participate in the research.",inclusion
NCT07003490,"Patients with unresectable tumors: This includes patients with tumors extensively invading vital organs (e.g., major blood vessels, spine, heart) or those for whom complete surgical resection is not feasible.",exclusion
NCT07003490,"Patients with severe comorbidities: These include individuals with severe cardiovascular diseases (e.g., heart failure, history of myocardial infarction, arrhythmia), severe respiratory diseases (e.g., chronic obstructive pulmonary disease, severe asthma), or other uncontrolled systemic diseases that may affect the patient's ability to tolerate surgery safely.",exclusion
NCT07003490,"Patients with distant metastasis: This includes patients with imaging findings suggestive of metastasis to distant organs, such as the liver, bones, or brain.",exclusion
NCT07003490,Patients with allergies to anesthetic agents or contraindications to anesthesia: This includes patients with a history of severe allergies or those with significant pulmonary or cardiovascular comorbidities that increase the anesthesia risk.,exclusion
NCT07003490,"Pregnant or lactating women: Due to potential risks associated with radiological examinations (e.g., PET scans) and surgery for the fetus or infant.",exclusion
NCT07003490,Patients with psychiatric disorders or those unable to comprehend the informed consent form: This includes patients who are unable to provide independent informed consent or fully understand the study protocol and associated risks.,exclusion
NCT07003490,"Patients unable to comply with follow-up requirements: This includes patients who are unable to attend scheduled postoperative follow-up visits, such as those living far from the hospital or with other logistical barriers.",exclusion
NCT07003490,"Patients with concurrent malignant hematologic diseases or other primary cancers: This includes patients who have other primary malignancies, especially those with high recurrence risks, in addition to lung cancer.",exclusion
NCT07003490,"Patients with known immune deficiencies or immune system disorders: This includes patients with severe immunodeficiency diseases, HIV, a history of organ transplantation, or other conditions that may compromise postoperative recovery and affect the efficacy of antitumor treatments.",exclusion
NCT07003490,"Elderly patients unable to tolerate surgery or anesthesia: This includes elderly individuals with multiple chronic conditions or functional decline, making them unable to tolerate surgical risks.",exclusion
NCT07003490,"Patients with severe hepatic or renal dysfunction: This includes patients with liver cirrhosis, renal failure, or other severe organ dysfunction that may prevent them from tolerating surgery and postoperative treatments.",exclusion
NCT07003490,"Patients with active infections: This includes patients with active infectious diseases, such as pneumonia being treated with antibiotics, especially those with contagious conditions such as tuberculosis or bacterial pneumonia.",exclusion
NCT07003490,"Patients with severe diabetes: This includes patients with unstable blood sugar control and diabetes-related complications (e.g., diabetic retinopathy, diabetic foot) that may complicate postoperative recovery.",exclusion
NCT07003490,Patients currently participating in other clinical trials: This includes patients enrolled in other clinical studies whose treatments may interfere with the interventions in this study.,exclusion
NCT07003490,Patients with severe malnutrition: This includes patients with significant weight loss or malnutrition that may impair postoperative recovery and increase anesthesia risk.,exclusion
NCT07003490,"Patients with severe hematological disorders: This includes patients with conditions such as anemia or thrombocytopenia, which could complicate hemostasis during surgery and postoperative recovery.",exclusion
NCT07003490,"Patients with severe chronic respiratory failure: This includes patients who are long-term ventilator-dependent or require tracheostomy, as they may have a higher surgical risk and compromised postoperative recovery.",exclusion
NCT01338090,adult patients with metastatic neuroendocrine tumors,inclusion
NCT01338090,radiological documentation of progressive disease over the past year,inclusion
NCT01338090,measurable disease according to RECIST criteria,inclusion
NCT01338090,"Adequate bone marrow function as shown by: ANC ≥ 1.5 x 109/L, Platelets ≥ 100 x 109/L, Hb \> 9 g/dL.",inclusion
NCT01338090,"Adequate liver function: serum bilirubin: ≤ 1.5 x ULN, ALT and AST ≤ 2.5x ULN. Patients with known liver metastases: AST and ALT ≤ 5x ULN.",inclusion
NCT01338090,Adequate renal function: serum creatinine ≤ 1.5 x ULN.,inclusion
NCT01338090,"Fasting serum cholesterol ≤300 mg/dL OR 7.75 mmol/L AND fasting triglycerides ≤ 2.5 x ULN. NOTE: In cases where one or both of these thresholds are exceeded, the patient can only be included after initiation of appropriate lipid lowering medication",inclusion
NCT01338090,"uncontrolled medical conditions (eg, unstable angina, symptomatic heart failure, serious intercurrent infections)",exclusion
NCT01338090,"any psychological, familial, sociological or geographical condition potentially hampering compliance with the study protocol and follow-up schedule of the study",exclusion
NCT01338090,Patients with uncontrolled diabetes mellitus as defined by fast blood sugar \> 1.5 x ULN.,exclusion
NCT01338090,"Prior therapy with RAD001 (everolimus) or other rapamycins (sirolimus, temsirolimus).",exclusion
NCT01338090,"Concomitant medications known to inhibit, induce or be a substrate to isoenzyme CYP3A are excluded unless the drugs are medically necessary and no substitutes are available. If there are no acceptable substitutes, special precautions should be taken in these patients",exclusion
NCT00003497,Histologically confirmed stage IV non-small cell lung cancer that cannot be cured with existing therapeutic regimens,inclusion
NCT00003497,"Measurable disease by CT scan or MRI

  * Tumor must be at least 2 cm for the lymph nodes located in the head, neck, axillary, inguinal or femoral areas and at least 0.5 cm for other areas

PATIENT CHARACTERISTICS:

Age:",inclusion
NCT00003497,"18 and over

Performance status",inclusion
NCT00003497,"Karnofsky 60-100%

Life expectancy:",inclusion
NCT00003497,"At least 2 months

Hematopoietic:",inclusion
NCT00003497,"Platelet count at least 50,000/mm\^3

Hepatic:",inclusion
NCT00003497,Bilirubin no greater than 2.5 mg/dL,inclusion
NCT00003497,"SGOT and SGPT no greater than 5 times upper limit of normal

Renal:",inclusion
NCT00003497,"Creatinine no greater than 2.5 mg/dL

Cardiovascular:",inclusion
NCT00003497,"No uncontrolled hypertension

Pulmonary:",inclusion
NCT00003497,"No serious lung disease (e.g., severe chronic obstructive pulmonary disease)

Other:",inclusion
NCT00003497,Fertile patients must use effective contraception during and for 4 weeks after study participation,inclusion
NCT00003497,No other serious medical or psychiatric conditions,inclusion
NCT00003497,"No serious malabsorption syndromes

PRIOR CONCURRENT THERAPY:

Biologic therapy:",inclusion
NCT00003497,"At least 4 weeks since prior immunotherapy and recovered

Chemotherapy:",inclusion
NCT00003497,"At least 4 weeks since prior chemotherapy (6 weeks for nitrosoureas) and recovered

Endocrine therapy:",inclusion
NCT00003497,"Concurrent corticosteroids allowed

Radiotherapy:",inclusion
NCT00003497,"At least 8 weeks since prior radiotherapy (less than 8 weeks if multiple tumors are involved) and recovered

Surgery:",inclusion
NCT00003497,No prior extensive stomach or intestinal surgery,inclusion
NCT00003497,"Recovered from any prior surgery

Other:",inclusion
NCT00003497,Prior cytodifferentiating agents allowed,inclusion
NCT00003497,No prior antineoplaston treatment,inclusion
NCT00003497,No other concurrent treatment for metastatic lung cancer,inclusion
NCT05432297,"Head and neck cancer (tumors of the oropharynx, pharynx, hypopharynx and larynx)",inclusion
NCT05432297,Receiving radiohterapy (+/- chemotherapy) with curative intent,inclusion
NCT05432297,Surgery due to head and neck cancer,exclusion
NCT05432297,Previous treatment for head and neck cancer,exclusion
NCT05432297,Inability to perform exercise intervention,exclusion
NCT05432297,Inability to perform part of 6-minute walking test,exclusion
NCT05432297,Inability to independently fill out questionnaires in Swedish,exclusion
NCT05432297,Previous neurologic or neuromuscular disease,exclusion
NCT07254910,Age 45-75 Live within IHS Clinton Service Unit catchment area Fluent in English and read at or above 6th grade level Self report as American Indian or have CDIB,inclusion
NCT07254910,Self report up to date with CRC screening FIT within 1 year,exclusion
NCT04521413,Key Inclusion Criteria: Study-Wide Eligibility (Across All Study Parts):,inclusion
NCT04521413,"Have progressed after ≥ 1, but no more than 3 regimens of systemic therapies for recurrent / metastatic disease.",inclusion
NCT04521413,Subjects must have measurable disease.,inclusion
NCT04521413,"Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1

Part A1: Monotherapy Dose Escalation Inclusion Criteria

1\. Histological or cytological confirmation of advanced solid malignancy that is refractory to or not a candidate for current standard treatment(s) and for whom no standard therapy is available.

Part A2: Biomarker-Focused Monotherapy Backfills Inclusion Criteria",inclusion
NCT04521413,"Histological or cytological confirmation of one of the advanced cancers listed below;

   * NSCLC
   * SCLC
   * cutaneous melanoma
   * Merkel cell carcinoma
   * squamous cell carcinoma of head and neck, anal canal, or skin
   * urothelial cancer
   * clear cell or non-clear cell renal cell carcinoma
   * triple negative breast cancer
   * endometrial cancer (regardless of MSI status)
   * cervical cancer
   * gastroesophageal cancer
   * hepatocellular cancer
   * any histology if known to be microsatellite-instability high (MSI-H)",inclusion
NCT04521413,"Tumors must be refractory to or not a candidate for current standard treatment(s) and for whom no standard therapy exists.

Part A3: Monotherapy Expansion Inclusion Criteria",inclusion
NCT04521413,"Histological or cytological confirmation of one of the advanced cancers listed below;

   * NSCLC cancer any histology
   * SCLC
   * cutaneous melanoma
   * Merkel cell carcinoma
   * squamous cell carcinoma of head and neck, anal canal, or skin
   * urothelial cancer
   * clear cell or non-clear cell renal cell carcinoma
   * triple negative breast cancer
   * endometrial cancer (regardless of MSI status)
   * cervical cancer
   * gastroesophageal cancer
   * hepatocellular
   * any histology if known to be microsatellite-instability high (MSI-H)",inclusion
NCT04521413,Tumors must be refractory to or subjects intolerant of current standard treatment(s) and for whom no standard therapies are available.,inclusion
NCT04521413,"Optional biopsies: Subjects that consent to optional fresh tumor biopsies must have at least one non-target soft tissue tumor lesion that can be biopsied.

Part B1: CFI-402411 in Combination with Pembrolizumab Dose Escalation Inclusion Criteria",inclusion
NCT04521413,Subjects must be deemed eligible by the Investigator to receive pembrolizumab.,inclusion
NCT04521413,"Histological or cytological confirmation of one of the advanced cancers listed below (list may vary in each country, USA shown here);

   * NSCLC cancer any histology
   * SCLC
   * cutaneous melanoma
   * Merkel cell carcinoma
   * squamous cell carcinoma of head and neck, anal canal, or skin
   * urothelial cancer
   * clear cell or non-clear cell renal cell carcinoma
   * triple negative breast cancer
   * endometrial cancer (regardless of MSI status)
   * cervical cancer
   * gastroesophageal cancer
   * hepatocellular cancer
   * any histology if known to be microsatellite-instability high (MSI-H)

Tumors must be refractory to or subjects intolerant of current standard treatment(s) or for whom no standard therapy is available.

Part B2: CFI-402411 in Combination with Pembrolizumab Expansion Inclusion Criteria",inclusion
NCT04521413,Subjects must be deemed eligible by the Investigator to receive pembrolizumab,inclusion
NCT04521413,"Histological or cytological confirmation of one of the advanced cancers listed below (list may vary in each country, USA shown here);

   * non-small cell lung cancer any histology
   * SCLC
   * cutaneous melanoma
   * Merkel Cell carcinoma
   * squamous cell carcinoma of head and neck, anal canal, or skin
   * urothelial cancer
   * clear cell or non-clear cell renal cell carcinoma
   * triple negative breast cancer
   * endometrial cancer (regardless of MSI status)
   * gastroesophageal cancer
   * hepatocellular cancer
   * any histology if known to be microsatellite-instability high (MSI-H)",inclusion
NCT04521413,"Tumors must be refractory to or subjects intolerant of current standard non-IO treatment(s) or for whom no standard therapy is available.

Key",inclusion
NCT04521413,"Exclusion Criteria: Study-Wide Eligibility (Across All Study Parts)

Subjects will be excluded from the study if any of the following criteria is met;",exclusion
NCT04521413,Previous treatment with an HPK1 inhibitor in other clinical trials.,exclusion
NCT04521413,Diagnosis of autoimmune-based disease or clinically significant auto-immune disorders.,exclusion
NCT04521413,"Have symptomatic congestive heart failure, active angina pectoris or recent myocardial infarction (within 6 mos).",exclusion
NCT04521413,Have chronic atrial fibrillation.,exclusion
NCT04521413,Known central nervous system metastasis.,exclusion
NCT04521413,"Stroke or transient ischemic attack, or other ischemic events or thromboembolic events within 3 months of study enrollment.",exclusion
NCT04521413,"A history of QTc prolongation or a marked baseline prolongation of QT/QTc interval or a history of additional risk factors for TdP (e.g., heart failure, hypokalemia, family history of Long QT Syndrome).",exclusion
NCT03841760,"Age 18 years or older, able to understand and provide written informed consent",inclusion
NCT03841760,"The patient has a tumor known or suspected to have PSMA expression, as reported in the literature or by positive histopathological staining for PSMA.",inclusion
NCT03841760,"The known or suspected tumor must fall into one of the following categories: carcinoma, sarcoma, or hematologic cancer.",inclusion
NCT03841760,"ECOG performance status 0 - 3, inclusive",inclusion
NCT03841760,Under referring physician's care,inclusion
NCT03841760,Able to tolerate the physical/logistical requirements of a PET/CT scan including lying supine for up to 40 minutes with the arms above the head and tolerating intravenous cannulation,inclusion
NCT03841760,"Patients with neoplasm known in literature to not have PSMA expression, unless patient specific tissue sampling shows PSMA staining on histopathology.",exclusion
NCT03841760,"Medically unstable patients (e.g. acute cardiac or respiratory distress or hypotensive, etc.)",exclusion
NCT03841760,Patients who exceed the safe weight limit of the PET/CT bed (200 kg) or who cannot fit through the PET/CT bore (70 cm diameter),exclusion
NCT03841760,Patients with unmanageable claustrophobia,exclusion
NCT00619060,Subjects 18 years of age or older with normal skin,inclusion
NCT00619060,"Have used no topical medications on the skin of the upper extremities, except for emollients or sunscreens, for at least 30 days prior to study entry",inclusion
NCT00619060,Agree to limit sun exposure as much as possible and wear protective clothing on the forearms in place of using sunscreens or moisturizers,inclusion
NCT00619060,Ability to understand and willingness to sign an informed consent before initiation of therapy after the nature of the study has been explained to them,inclusion
NCT00619060,Females must be surgically sterile by hysterectomy or post menopausal,inclusion
NCT00619060,Subjects with no signs of inflammation or irritation of the skin on the forearms,exclusion
NCT00619060,Subjects with prior history of actinic keratosis or skin cancer on the forearm,exclusion
NCT00619060,Females of child bearing potential,exclusion
NCT00619060,"Subjects with any concurrent therapy (e.g., retinoids, fluorouracil) on the forearms that may interfere with clinical evaluations",exclusion
NCT00619060,"Subjects taking oral supplemental niacin, by itself or in the form of a multi-vitamin that exceeds 40 mg/day",exclusion
NCT00619060,"No known immunosuppression by virtue of medication or disease, including AIDS patients, subjects taking oral prednisone, and subjects on immunosuppressants/immunomodulators( cyclosporine, chemotherapeutic agents, or biologic therapy), determined by the examining investigator/co-investigator",exclusion
NCT00619060,"Uncontrolled intercurrent illness including, but not limited to any of ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements",exclusion
NCT00619060,Subjects who have had invasive cancer within the past 5 years,exclusion
NCT00619060,"Skin conditions felt by the study physician to contraindicate enrollment including, but not limited to, psoriasis or atopic dermatitis within a proposed treatment area",exclusion
NCT00619060,Less than 30 days since prior and no concurrent or planned participation in another clinical trial,exclusion
NCT00139620,"Histologically confirmed advanced solid tumor (measurable or nonmeasurable) that is potentially responsive to erlotinib or for which no effective therapy is available,",inclusion
